CustomerID,Frecuencia,monto,Precio ,Recencia,Pais
12447,1,35,2.95,243,Belgium
12448,1,8,1.55,44,Spain
12449,4,75,2.21,22,Belgium
12451,6,155,1.58,10,Switzerland
12452,2,15,1.40,16,Switzerland
12453,1,60,1.99,134,Austria
12454,1,-809,2.20,53,Spain
12455,4,74,7.87,73,Cyprus
12456,3,177,3.85,44,Switzerland
12457,4,38,5.06,66,Switzerland
12458,2,72,4.27,71,Switzerland
12461,1,132,2.70,154,Switzerland
12462,3,25,2.91,2,Spain
12463,5,22,3.33,46,Belgium
12464,4,29,11.74,10,Belgium
12465,2,41,1.06,17,Belgium
12468,2,59,1.87,187,Germany
12471,23,97,2.59,2,Germany
12472,9,70,1.99,31,Germany
12473,4,76,0.91,53,Germany
12474,15,57,1.97,17,Germany
12475,1,76,0.52,53,Germany
12476,12,71,6.52,1,Germany
12477,6,289,3.48,22,Germany
12478,1,51,1.81,3,Greece
12479,2,46,3.09,4,Germany
12480,4,68,2.07,28,Germany
12481,9,47,1.23,22,Germany
12483,4,101,13.62,17,Sweden
12484,4,126,2.87,35,Spain
12488,3,57,3.14,9,France
12489,1,49,9.75,336,France
12490,10,70,1.59,5,France
12491,1,45,0.77,38,France
12492,1,38,1.59,105,Germany
12493,2,30,3.68,165,France
12494,6,16,1.77,15,France
12497,1,105,0.42,81,Germany
12498,2,21,2.10,21,Germany
12500,7,110,6.81,23,Germany
12501,2,165,1.20,315,Germany
12502,5,120,5.28,95,Spain
12504,3,34,11.33,18,Germany
12507,1,194,24.19,134,Spain
12508,1,10,0.68,29,France
12510,1,46,1.45,325,Spain
12512,1,21,0.55,66,Israel
12513,1,62,2.21,112,France
12514,1,15,1.25,267,Italy
12516,2,125,1.77,77,Germany
12517,4,79,5.62,28,Germany
12518,5,53,2.58,0,Germany
12519,1,18,2.95,63,Germany
12520,6,56,3.94,79,Germany
12521,1,110,2.55,142,Germany
12522,1,15,4.95,51,Germany
12523,8,30,5.57,1,France
12524,6,37,1.54,63,Germany
12526,3,17,4.18,0,Germany
12527,2,12,1.67,81,Germany
12528,5,49,2.72,9,Germany
12530,3,35,2.53,59,Germany
12531,1,6,2.95,14,Germany
12532,1,48,2.65,30,France
12534,1,86,2.51,130,Germany
12535,2,60,5.91,91,France
12536,2,284,1.24,7,France
12538,1,16,7.95,29,Spain
12539,4,161,3.06,22,Spain
12540,15,134,4.45,19,Spain
12541,3,58,1.35,29,Spain
12544,1,36,1.99,36,Spain
12545,2,48,2.46,75,Spain
12546,1,92,2.69,46,Spain
12548,1,17,1.45,166,Spain
12550,1,36,1.81,79,Spain
12551,1,17,1.65,357,Spain
12552,1,11,0.42,39,Italy
12553,9,44,2.10,9,France
12556,2,22,1.82,50,Spain
12557,4,212,1.84,158,Spain
12558,2,12,0.84,1,USA
12559,1,88,1.37,319,Germany
12560,4,108,6.40,5,Germany
12561,1,44,0.98,302,Germany
12562,7,65,1.92,8,France
12564,1,94,8.51,261,France
12566,1,159,1.25,86,Germany
12567,10,145,2.13,22,France
12569,18,27,5.46,2,Germany
12571,2,43,1.00,39,France
12572,2,49,1.78,8,Germany
12573,1,23,3.28,227,France
12576,4,38,1.60,95,Poland
12577,3,31,2.26,35,France
12578,2,175,3.99,21,Italy
12579,1,84,1.95,78,France
12580,1,71,1.87,246,Germany
12581,1,18,18.00,39,Germany
12582,1,27,1.13,288,Finland
12583,15,64,2.98,2,France
12584,12,30,7.97,3,Italy
12585,2,43,4.59,234,Germany
12587,1,83,2.08,7,Finland
12589,2,51,2.39,28,France
12590,1,1665,1.35,211,Germany
12591,1,79,2.92,317,Italy
12592,1,73,1.41,92,Germany
12594,6,42,1.61,46,Italy
12596,1,20,0.85,51,Spain
12597,4,76,2.85,32,Spain
12598,7,58,1.99,9,France
12599,4,11,0.90,29,France
12600,6,52,9.02,28,Germany
12601,5,45,6.29,189,Germany
12602,1,34,0.70,58,France
12607,2,-9,1.48,58,USA
12609,3,59,1.83,78,Germany
12610,6,79,9.03,22,Italy
12611,1,165,1.47,52,Italy
12612,1,90,2.80,74,Germany
12613,5,56,1.47,31,Germany
12615,3,127,1.89,2,France
12616,3,15,1.26,95,France
12617,1,30,2.00,29,France
12618,1,40,40.00,21,Italy
12619,5,94,0.70,16,Germany
12620,3,40,0.98,14,France
12621,16,81,1.84,1,Germany
12623,1,26,0.85,276,Germany
12624,2,31,2.72,106,France
12625,2,58,0.93,211,Germany
12626,10,72,2.45,23,Germany
12627,6,58,1.93,10,Germany
12628,3,53,1.99,4,Germany
12630,2,53,1.73,9,Finland
12631,1,231,5.77,57,Finland
12633,4,60,2.10,58,Germany
12635,2,38,1.01,89,Germany
12637,7,87,1.80,67,France
12638,1,89,1.22,33,Sweden
12640,1,49,6.11,81,France
12641,1,11,2.10,115,Sweden
12642,3,36,7.41,25,Germany
12643,3,223,7.70,128,France
12644,1,88,2.94,129,Germany
12645,4,25,1.43,33,Germany
12646,2,49,2.16,4,USA
12647,10,40,5.54,22,Germany
12648,1,51,2.45,154,Germany
12649,3,53,1.70,107,Germany
12650,1,113,3.75,3,France
12651,1,18,5.95,334,France
12652,1,25,2.10,331,France
12653,2,134,1.40,148,Israel
12654,4,18,2.78,37,Germany
12656,5,77,3.37,17,France
12657,3,86,4.31,11,France
12658,1,143,2.59,18,Germany
12660,1,33,2.19,11,France
12662,10,39,2.32,0,Germany
12664,3,177,4.51,58,Finland
12667,1,18,2.95,58,Finland
12668,6,39,1.55,7,Germany
12669,2,87,1.19,150,France
12670,5,110,2.45,10,France
12672,1,40,4.48,329,France
12673,2,20,1.53,5,Germany
12674,4,64,2.60,38,France
12676,2,50,20.63,260,Sweden
12678,9,252,1.52,42,France
12679,3,76,1.44,58,France
12680,4,27,5.96,0,France
12681,20,92,2.94,14,France
12682,22,56,3.67,3,France
12683,15,69,3.18,4,France
12684,6,60,1.65,7,France
12685,6,43,2.03,28,France
12688,1,391,1.25,113,Israel
12689,2,26,1.34,25,France
12690,1,36,1.65,205,France
12691,1,110,3.43,58,France
12693,4,19,6.32,120,Germany
12694,2,97,1.30,70,France
12695,3,20,2.13,66,France
12697,3,24,0.73,28,Sweden
12700,5,86,5.50,7,France
12701,2,42,1.90,79,Germany
12702,1,60,2.72,19,Germany
12703,1,35,2.90,71,Germany
12704,6,66,2.20,22,Finland
12705,9,87,3.40,15,Germany
12707,1,110,1.72,291,France
12708,10,26,3.46,60,Germany
12709,14,70,3.29,15,Germany
12710,2,91,4.89,96,Germany
12712,8,71,4.01,28,Germany
12713,1,139,1.29,0,Germany
12714,5,69,1.95,9,France
12715,1,21,2.08,106,Sweden
12716,1,118,1.84,133,France
12717,2,105,3.33,151,Greece
12718,1,29,0.61,71,France
12719,2,51,1.39,5,France
12720,17,41,1.53,2,Germany
12721,5,46,4.23,31,France
12722,3,52,5.45,85,France
12723,3,35,6.15,16,France
12724,2,19,1.27,81,France
12725,1,73,1.33,371,Italy
12726,6,61,1.85,28,France
12727,6,58,6.56,10,France
12728,2,24,1.00,71,France
12729,1,72,1.56,113,France
12731,11,221,3.98,23,France
12732,1,18,2.95,179,France
12734,1,47,1.95,352,France
12735,1,54,18.00,315,France
12738,1,18,18.00,372,Germany
12740,1,68,3.41,63,France
12743,2,45,1.02,134,Unspecified
12744,6,293,472.64,51,Singapore
12747,5,46,2.96,2,United Kingdom
12748,144,13,8.62,0,United Kingdom
12749,5,135,3.98,3,United Kingdom
12750,1,51,1.76,128,Poland
12752,1,95,1.97,81,Norway
12753,9,353,2.23,3,Japan
12754,2,3,1.33,277,Japan
12757,8,-170,226.13,28,Portugal
12758,2,157,1.51,116,Portugal
12759,3,63,1.62,52,Netherlands
12762,1,123,1.47,7,Portugal
12763,1,87,1.45,138,Japan
12764,1,166,4.48,316,Lebanon
12766,7,112,2.13,3,Portugal
12769,1,145,3.22,238,Brazil
12772,1,140,1.23,59,Portugal
12775,3,25,1.74,17,Netherlands
12778,3,24,0.97,63,Netherlands
12779,6,83,3.82,37,Poland
12781,2,51,2.18,63,Czech Republic
12782,5,37,2.16,4,Portugal
12783,5,-18,58.51,2,Portugal
12784,1,41,2.03,15,Portugal
12785,1,13,1.25,364,Portugal
12787,2,25,8.23,91,Netherlands
12790,1,98,2.13,192,Netherlands
12791,1,15,15.00,373,Netherlands
12792,1,73,1.00,256,Portugal
12793,2,52,1.40,334,Portugal
12794,2,53,2.11,53,Portugal
12795,1,78,8.66,18,Portugal
12797,1,30,1.25,365,Portugal
12798,1,415,0.72,170,Japan
12802,1,49,1.43,186,Netherlands
12808,2,20,2.02,36,Portugal
12811,3,48,10.60,260,Portugal
12812,1,35,3.45,44,Japan
12815,2,53,1.26,147,Poland
12816,2,13,2.90,95,Poland
12817,1,139,3.76,281,Austria
12818,1,78,7.75,261,Austria
12820,4,28,1.71,3,United Kingdom
12821,1,10,0.85,214,United Kingdom
12822,1,25,2.10,70,United Kingdom
12823,1,459,7.65,254,United Kingdom
12824,1,10,0.85,59,United Kingdom
12826,5,35,1.53,71,United Kingdom
12827,2,45,3.27,32,United Kingdom
12828,3,18,3.35,65,United Kingdom
12829,1,14,6.75,336,United Kingdom
12830,2,390,0.49,37,United Kingdom
12831,1,51,2.04,262,United Kingdom
12832,1,18,5.95,32,United Kingdom
12833,1,16,5.45,145,United Kingdom
12834,1,72,3.29,282,United Kingdom
12836,4,85,2.41,59,United Kingdom
12837,1,17,8.50,173,United Kingdom
12838,2,50,2.33,33,United Kingdom
12839,11,37,1.59,2,United Kingdom
12840,4,85,2.04,143,United Kingdom
12841,20,12,2.18,4,United Kingdom
12842,2,83,1.85,70,United Kingdom
12843,6,17,2.69,159,United Kingdom
12844,2,5,1.22,29,United Kingdom
12845,3,72,2.55,268,United Kingdom
12847,1,85,0.95,22,United Kingdom
12849,2,25,5.44,31,United Kingdom
12851,1,12,1.19,96,United Kingdom
12852,1,58,5.28,294,United Kingdom
12853,4,39,4.11,134,United Kingdom
12854,4,56,4.73,78,United Kingdom
12855,1,10,0.85,372,United Kingdom
12856,6,47,2.10,7,United Kingdom
12857,2,70,5.80,210,United Kingdom
12863,1,59,4.95,52,United Kingdom
12865,2,94,1.81,26,Austria
12866,1,38,1.63,283,Belgium
12867,8,59,0.99,26,United Kingdom
12868,6,43,2.34,185,United Kingdom
12872,2,30,1.47,326,United Kingdom
12875,1,294,0.17,362,United Kingdom
12876,2,76,1.42,57,Belgium
12877,7,30,1.55,24,United Kingdom
12878,2,44,1.31,236,United Kingdom
12879,3,17,1.37,44,United Kingdom
12881,1,37,4.60,275,United Kingdom
12882,1,146,7.29,33,United Kingdom
12883,3,27,4.34,24,United Kingdom
12885,2,90,3.60,63,United Kingdom
12886,2,81,1.38,67,United Kingdom
12888,1,25,2.10,255,United Kingdom
12890,1,42,0.82,24,United Kingdom
12893,1,21,2.09,30,United Kingdom
12895,1,32,1.35,86,United Kingdom
12897,2,44,3.20,204,United Kingdom
12901,12,156,2.12,43,United Kingdom
12904,2,23,1.62,18,United Kingdom
12906,3,65,1.13,11,United Kingdom
12909,6,17,3.55,39,United Kingdom
12910,5,70,2.49,23,United Kingdom
12912,2,155,2.51,8,United Kingdom
12913,3,61,1.58,15,United Kingdom
12915,2,13,4.30,148,United Kingdom
12916,4,50,3.08,138,United Kingdom
12919,4,23,1.71,16,United Kingdom
12920,1,1,0.75,17,United Kingdom
12921,33,68,2.24,9,United Kingdom
12922,1,22,0.46,161,United Kingdom
12923,1,5,2.29,64,United Kingdom
12924,1,1,0.83,88,United Kingdom
12925,2,48,0.99,4,United Kingdom
12928,3,35,2.82,35,United Kingdom
12929,1,17,8.50,311,United Kingdom
12930,3,4,2.95,78,United Kingdom
12931,6,728,1.57,30,United Kingdom
12933,3,18,2.07,24,United Kingdom
12935,6,35,1.24,2,United Kingdom
12936,2,84,2.10,17,United Kingdom
12937,3,51,1.56,15,United Kingdom
12939,4,361,2.66,79,United Kingdom
12940,2,45,1.22,54,United Kingdom
12942,3,38,6.80,131,United Kingdom
12944,2,64,3.10,35,United Kingdom
12945,1,17,8.50,288,United Kingdom
12947,5,32,3.95,143,United Kingdom
12948,4,52,2.57,59,United Kingdom
12949,5,74,2.13,30,United Kingdom
12950,1,179,1.79,8,United Kingdom
12951,4,28,3.75,8,United Kingdom
12952,4,13,2.86,5,United Kingdom
12953,1,42,13.83,9,United Kingdom
12955,11,57,2.51,1,United Kingdom
12956,1,28,5.67,306,United Kingdom
12957,6,61,1.35,9,United Kingdom
12962,1,35,2.95,7,United Kingdom
12963,6,26,3.52,8,United Kingdom
12965,1,82,3.92,89,United Kingdom
12966,1,36,4.45,9,United Kingdom
12967,3,49,13.39,3,United Kingdom
12970,2,24,1.33,7,United Kingdom
12971,34,29,1.74,3,United Kingdom
12976,1,26,0.79,211,United Kingdom
12980,2,559,19.17,176,United Kingdom
12981,1,17,1.45,133,United Kingdom
12982,1,25,1.05,242,United Kingdom
12985,2,93,0.42,0,United Kingdom
12987,2,48,1.53,73,United Kingdom
12988,1,51,3.64,292,United Kingdom
12989,7,278,3.50,3,United Kingdom
12990,1,42,2.08,185,United Kingdom
12991,1,5,0.42,112,United Kingdom
12993,2,39,1.47,120,United Kingdom
12994,5,19,1.55,4,United Kingdom
12997,3,106,2.62,22,United Kingdom
12999,2,8,1.19,205,United Kingdom
13000,1,43,1.44,259,United Kingdom
13001,13,66,2.31,4,United Kingdom
13002,1,10,9.95,318,United Kingdom
13004,15,41,1.03,11,United Kingdom
13005,1,30,7.45,246,United Kingdom
13008,1,14,0.29,323,United Kingdom
13012,5,26,4.87,78,United Kingdom
13013,12,44,3.66,1,United Kingdom
13014,11,34,5.53,10,United Kingdom
13015,5,63,2.25,53,United Kingdom
13016,3,13,1.80,73,United Kingdom
13018,22,42,1.69,16,United Kingdom
13021,8,49,2.71,4,United Kingdom
13023,2,81,2.19,64,United Kingdom
13026,1,14,0.23,1,United Kingdom
13027,2,480,0.40,113,United Kingdom
13028,2,18,0.82,22,United Kingdom
13030,2,48,2.33,11,United Kingdom
13032,2,41,2.18,52,United Kingdom
13033,1,37,2.87,357,United Kingdom
13034,2,35,2.21,54,United Kingdom
13035,3,17,1.30,57,United Kingdom
13037,3,48,2.63,138,United Kingdom
13038,2,20,1.65,183,United Kingdom
13040,2,56,1.96,8,United Kingdom
13044,1,22,0.83,291,United Kingdom
13045,1,116,1.81,99,United Kingdom
13046,1,17,1.45,30,United Kingdom
13047,7,31,5.10,127,United Kingdom
13048,4,33,1.17,14,United Kingdom
13049,2,38,1.90,64,United Kingdom
13050,15,37,2.56,14,United Kingdom
13052,1,49,1.07,212,United Kingdom
13055,2,59,1.38,78,United Kingdom
13058,1,10,9.95,24,United Kingdom
13059,1,26,3.20,249,United Kingdom
13060,1,150,2.42,253,United Kingdom
13061,1,17,1.65,72,United Kingdom
13062,1,20,1.65,191,United Kingdom
13064,4,27,3.56,12,United Kingdom
13065,1,18,2.95,373,United Kingdom
13066,2,15,0.80,24,United Kingdom
13067,1,17,4.35,82,United Kingdom
13069,18,23,1.48,0,United Kingdom
13070,1,42,2.08,192,United Kingdom
13072,1,35,2.95,266,United Kingdom
13075,1,117,2.72,129,United Kingdom
13077,3,17,0.74,1,United Kingdom
13078,24,46,3.49,3,United Kingdom
13079,2,18,2.95,21,United Kingdom
13081,12,369,2.75,11,United Kingdom
13082,5,20,2.31,126,United Kingdom
13083,1,52,1.37,75,United Kingdom
13085,2,26,5.73,157,United Kingdom
13089,64,93,3.21,2,United Kingdom
13090,7,137,4.71,31,United Kingdom
13091,1,36,0.69,28,United Kingdom
13092,2,14,3.17,70,United Kingdom
13093,6,87,1.98,275,United Kingdom
13095,1,23,0.32,70,United Kingdom
13097,12,56,2.83,32,United Kingdom
13098,24,160,2.41,1,United Kingdom
13101,1,17,2.10,234,United Kingdom
13102,18,24,2.33,1,United Kingdom
13103,1,27,1.69,39,United Kingdom
13104,1,20,1.65,46,United Kingdom
13106,1,77,4.25,133,United Kingdom
13107,1,20,1.65,175,United Kingdom
13109,2,60,1.19,59,United Kingdom
13110,6,27,2.84,31,United Kingdom
13113,15,79,3.20,40,United Kingdom
13115,3,84,2.77,11,United Kingdom
13116,1,99,4.13,138,United Kingdom
13117,2,11,1.04,238,United Kingdom
13118,6,27,3.47,19,United Kingdom
13121,2,19,1.18,269,United Kingdom
13122,1,67,3.33,240,United Kingdom
13124,3,106,1.89,89,United Kingdom
13126,6,24,1.96,44,United Kingdom
13127,1,10,0.85,77,United Kingdom
13130,1,25,1.25,94,United Kingdom
13131,2,59,3.16,23,United Kingdom
13132,1,17,8.50,261,United Kingdom
13133,2,15,7.45,273,United Kingdom
13134,4,67,3.66,72,United Kingdom
13136,5,58,3.05,50,United Kingdom
13137,8,53,1.81,10,United Kingdom
13138,4,24,2.89,46,United Kingdom
13139,4,138,2.93,32,United Kingdom
13140,3,17,5.22,108,United Kingdom
13141,5,66,2.44,84,United Kingdom
13142,1,3,2.95,19,United Kingdom
13144,1,24,2.95,332,United Kingdom
13145,1,119,4.95,39,United Kingdom
13147,1,119,4.95,43,United Kingdom
13148,11,35,2.29,29,United Kingdom
13149,4,67,2.03,14,United Kingdom
13151,2,50,4.20,203,United Kingdom
13153,1,35,2.95,5,United Kingdom
13155,3,39,1.87,79,United Kingdom
13157,4,58,1.55,49,United Kingdom
13158,4,32,1.50,94,United Kingdom
13159,3,61,1.93,50,United Kingdom
13160,1,15,1.25,22,United Kingdom
13161,1,42,4.23,313,United Kingdom
13162,3,103,1.43,122,United Kingdom
13165,2,67,0.80,46,United Kingdom
13166,1,27,1.59,283,United Kingdom
13167,4,31,1.16,18,United Kingdom
13168,3,26,2.73,36,United Kingdom
13170,1,10,1.30,26,United Kingdom
13171,2,36,3.60,49,United Kingdom
13173,2,26,2.86,4,United Kingdom
13174,3,87,2.01,16,United Kingdom
13176,1,15,2.19,46,United Kingdom
13177,1,43,1.78,64,United Kingdom
13178,10,76,1.71,35,United Kingdom
13183,8,91,1.62,7,United Kingdom
13184,7,22,1.35,14,United Kingdom
13186,4,34,2.17,39,United Kingdom
13187,1,29,2.10,337,United Kingdom
13189,2,19,0.44,18,United Kingdom
13192,2,49,1.83,95,United Kingdom
13193,1,18,2.51,61,United Kingdom
13196,3,46,1.51,11,United Kingdom
13198,5,77,2.17,10,United Kingdom
13199,9,98,1.85,7,United Kingdom
13200,3,24,1.71,21,United Kingdom
13203,4,22,3.51,9,United Kingdom
13208,7,26,2.27,58,United Kingdom
13209,7,75,2.64,30,United Kingdom
13210,1,26,4.25,93,United Kingdom
13211,3,49,2.68,10,United Kingdom
13212,3,26,6.07,9,United Kingdom
13213,4,54,7.49,56,United Kingdom
13216,1,69,0.72,267,United Kingdom
13221,2,48,2.41,240,United Kingdom
13224,2,52,1.23,60,United Kingdom
13225,6,234,1.73,3,United Kingdom
13226,1,14,1.98,273,United Kingdom
13229,1,34,4.20,225,United Kingdom
13230,13,20,2.04,4,United Kingdom
13232,6,28,1.62,26,United Kingdom
13233,2,27,0.62,74,United Kingdom
13235,1,64,2.27,212,United Kingdom
13236,2,29,1.13,24,United Kingdom
13238,3,62,2.08,17,United Kingdom
13239,1,25,0.68,261,United Kingdom
13240,4,37,3.04,96,United Kingdom
13243,1,83,2.19,203,United Kingdom
13244,1,22,4.37,92,United Kingdom
13245,1,76,4.21,50,United Kingdom
13246,5,14,3.12,18,United Kingdom
13247,1,10,0.85,82,United Kingdom
13248,2,15,7.85,124,United Kingdom
13253,2,55,0.61,156,United Kingdom
13255,1,18,2.95,373,United Kingdom
13258,2,37,2.47,23,United Kingdom
13259,1,35,3.14,61,United Kingdom
13260,1,219,10.95,61,United Kingdom
13262,1,18,2.95,263,United Kingdom
13263,32,23,1.90,1,United Kingdom
13265,4,31,1.58,53,United Kingdom
13266,13,48,1.61,11,United Kingdom
13267,15,40,3.48,2,United Kingdom
13268,9,39,1.05,17,United Kingdom
13269,13,51,2.02,1,United Kingdom
13271,1,18,0.82,37,United Kingdom
13272,1,15,4.95,89,United Kingdom
13276,2,21,7.00,63,United Kingdom
13277,1,50,1.65,25,United Kingdom
13278,1,76,0.99,40,United Kingdom
13279,1,13,1.25,78,United Kingdom
13280,3,17,2.30,122,United Kingdom
13282,2,20,2.51,18,United Kingdom
13284,1,68,2.98,330,United Kingdom
13285,3,83,1.89,23,United Kingdom
13291,1,31,0.70,155,United Kingdom
13292,1,20,1.65,284,United Kingdom
13294,2,39,2.76,189,United Kingdom
13297,2,99,2.98,23,United Kingdom
13299,1,18,2.95,268,United Kingdom
13300,2,27,3.04,164,United Kingdom
13301,4,20,2.09,103,United Kingdom
13304,1,34,2.64,351,United Kingdom
13305,6,36,2.48,21,United Kingdom
13308,3,52,2.34,22,United Kingdom
13309,3,14,1.52,88,United Kingdom
13310,4,32,4.50,28,United Kingdom
13311,1,195,1.56,150,United Kingdom
13313,4,50,1.61,22,United Kingdom
13314,4,17,3.21,1,United Kingdom
13316,4,193,2.37,37,United Kingdom
13317,5,46,4.21,66,United Kingdom
13318,2,28,0.90,1,United Kingdom
13319,20,49,3.57,17,United Kingdom
13320,5,29,1.55,78,United Kingdom
13321,1,18,2.95,86,United Kingdom
13322,1,3,2.89,17,United Kingdom
13323,1,17,4.25,3,United Kingdom
13324,6,155,1.04,89,United Kingdom
13327,5,52,3.22,38,United Kingdom
13328,1,255,2.12,316,United Kingdom
13330,3,60,1.57,92,United Kingdom
13334,3,105,1.27,82,United Kingdom
13336,1,131,1.93,77,United Kingdom
13338,1,146,5.21,157,United Kingdom
13339,1,133,1.73,200,United Kingdom
13340,6,135,2.78,45,United Kingdom
13341,1,193,3.21,260,United Kingdom
13343,1,41,2.90,177,United Kingdom
13344,2,120,3.56,67,United Kingdom
13345,1,-12,5.95,276,United Kingdom
13348,1,11,0.95,64,United Kingdom
13349,1,10,0.83,10,United Kingdom
13350,3,85,5.03,16,United Kingdom
13352,1,60,0.99,60,United Kingdom
13354,1,10,0.85,71,United Kingdom
13355,1,146,4.30,122,United Kingdom
13356,1,74,1.72,80,United Kingdom
13357,1,79,2.92,257,United Kingdom
13358,1,64,4.56,268,United Kingdom
13359,1,32,2.25,63,United Kingdom
13362,4,86,2.78,9,United Kingdom
13363,2,15,3.16,17,United Kingdom
13364,2,0,2.50,66,United Kingdom
13365,3,67,2.14,8,United Kingdom
13368,2,55,1.95,256,United Kingdom
13369,1,16,0.65,365,United Kingdom
13370,2,32,4.17,366,United Kingdom
13372,1,7,0.29,89,United Kingdom
13373,3,123,2.36,60,United Kingdom
13375,1,29,2.06,88,United Kingdom
13376,3,21,1.94,99,United Kingdom
13379,3,22,0.90,26,United Kingdom
13381,7,61,2.81,21,United Kingdom
13382,1,16,7.95,280,United Kingdom
13384,8,51,2.67,30,United Kingdom
13385,1,71,1.97,329,United Kingdom
13388,1,30,3.38,131,United Kingdom
13389,2,26,3.73,74,United Kingdom
13390,1,63,3.15,74,United Kingdom
13394,7,37,1.20,1,United Kingdom
13395,1,12,5.75,185,United Kingdom
13396,2,118,2.85,29,United Kingdom
13397,1,257,4.93,183,United Kingdom
13398,1,32,6.37,192,United Kingdom
13402,2,30,1.02,127,United Kingdom
13404,1,15,1.25,212,United Kingdom
13405,2,36,3.34,204,United Kingdom
13408,36,116,5.91,1,United Kingdom
13410,4,57,1.75,24,United Kingdom
13411,1,24,2.43,107,United Kingdom
13414,2,42,3.73,133,United Kingdom
13416,2,25,4.95,43,United Kingdom
13417,2,66,3.53,4,United Kingdom
13418,15,31,2.82,11,United Kingdom
13421,2,177,1.47,40,United Kingdom
13422,1,345,2.74,64,United Kingdom
13425,3,46,1.30,108,United Kingdom
13426,9,43,1.47,0,United Kingdom
13427,2,23,1.25,19,United Kingdom
13428,1,16,1.20,10,United Kingdom
13429,4,38,0.84,10,United Kingdom
13430,2,41,0.93,18,United Kingdom
13431,2,73,2.15,67,United Kingdom
13434,1,178,1.85,74,United Kingdom
13435,7,29,2.75,5,United Kingdom
13436,1,17,2.89,1,United Kingdom
13437,5,57,4.86,31,United Kingdom
13439,1,23,0.83,255,United Kingdom
13447,4,35,3.13,23,United Kingdom
13448,6,62,2.64,16,United Kingdom
13449,1,25,1.04,23,United Kingdom
13450,6,84,0.93,26,United Kingdom
13451,6,33,2.61,26,United Kingdom
13453,1,15,1.25,289,United Kingdom
13455,2,51,1.82,24,United Kingdom
13456,2,20,0.75,17,United Kingdom
13458,13,81,2.08,7,United Kingdom
13461,2,30,1.87,38,United Kingdom
13462,1,44,2.22,252,United Kingdom
13464,1,92,1.62,58,United Kingdom
13466,1,35,2.95,184,United Kingdom
13467,2,135,4.00,10,United Kingdom
13468,20,33,3.09,7,United Kingdom
13471,3,63,1.14,5,United Kingdom
13473,1,18,0.27,332,United Kingdom
13474,1,16,1.33,236,United Kingdom
13475,3,58,1.39,217,United Kingdom
13476,2,131,4.03,178,United Kingdom
13477,4,48,3.15,57,United Kingdom
13479,1,40,1.65,200,United Kingdom
13481,3,67,1.60,45,United Kingdom
